ZON_NM,DATE,px_mean,px_max
Jeollanam-do,20180506,12.1666666667,31
Jeollanam-do,20180507,11.6666666667,20
Jeollanam-do,20180508,16.8333333333,34
Jeollanam-do,20180509,21.25,39
Jeollanam-do,20180510,31.875,48
Jeollanam-do,20180511,22.625,37
Jeollanam-do,20180512,20.75,42
Jeollanam-do,20180513,12.5416666667,61
Jeollanam-do,20180514,39.875,62
Jeollanam-do,20180515,36.875,58
Jeollanam-do,20180516,15.0833333333,30
Jeollanam-do,20180517,10.0,17
Jeollanam-do,20180518,19.7916666667,30
Jeollanam-do,20180519,10.8333333333,27
Jeollanam-do,20180520,13.0416666667,36
Jeollanam-do,20180521,14.5652173913,32
Jeollanam-do,20180522,24.7916666667,48
Jeollanam-do,20180523,21.3684210526,54
Jeollanam-do,20180524,74.2916666667,111
Jeollanam-do,20180525,80.7083333333,104
Jeollanam-do,20180526,68.0833333333,114
Jeollanam-do,20180527,55.25,72
Jeollanam-do,20180528,51.5833333333,73
Jeollanam-do,20180529,31.7916666667,59
Jeollanam-do,20180530,40.6666666667,89
Jeollanam-do,20180531,33.125,49
Jeollanam-do,20180601,34.1666666667,51
Jeollanam-do,20180602,33.2916666667,82
Jeollanam-do,20180603,30.8333333333,58
Jeollanam-do,20180604,39.0833333333,64
Jeollanam-do,20180605,39.125,61
Jeollanam-do,20180606,45.4583333333,70
Jeollanam-do,20180607,49.8636363636,68
Jeollanam-do,20180608,52.5,115
Jeollanam-do,20180609,68.3181818182,148
Jeollanam-do,20180610,21.0833333333,68
Jeollanam-do,20180611,17.8333333333,42
Jeollanam-do,20180612,22.2272727273,46
Jeollanam-do,20180613,29.7916666667,77
Jeollanam-do,20180614,37.125,71
Jeollanam-do,20180615,18.1666666667,46
Jeollanam-do,20180616,19.7083333333,49
Jeollanam-do,20180617,36.6666666667,59
Jeollanam-do,20180618,35.4166666667,60
Jeollanam-do,20180619,28.375,46
Jeollanam-do,20180620,22.0416666667,36
Jeollanam-do,20180621,32.6666666667,45
Jeollanam-do,20180622,27.4583333333,45
Jeollanam-do,20180623,27.25,44
Jeollanam-do,20180624,36.9166666667,52
Jeollanam-do,20180625,36.7727272727,50
Jeollanam-do,20180626,24.9166666667,49
Jeollanam-do,20180627,12.0,36
Jeollanam-do,20180628,9.95833333333,24
Jeollanam-do,20180629,18.8333333333,28
Jeollanam-do,20180630,11.375,21
Jeollanam-do,20180701,5.79166666667,11
Jeollanam-do,20180702,9.08333333333,22
Jeollanam-do,20180703,11.4583333333,23
Jeollanam-do,20180704,13.875,29
Jeollanam-do,20180705,9.33333333333,17
Jeollanam-do,20180706,8.25,16
Jeollanam-do,20180707,8.41666666667,14
Jeollanam-do,20180708,8.875,15
Jeollanam-do,20180709,7.0,14
Jeollanam-do,20180710,16.4583333333,22
Jeollanam-do,20180711,16.7916666667,25
Jeollanam-do,20180712,14.2916666667,25
Jeollanam-do,20180713,13.125,23
Jeollanam-do,20180714,11.5833333333,19
Jeollanam-do,20180715,11.0833333333,19
Jeollanam-do,20180716,16.9166666667,29
Jeollanam-do,20180717,20.0,31
Jeollanam-do,20180718,22.75,34
Jeollanam-do,20180719,23.125,42
Jeollanam-do,20180720,32.2916666667,44
Jeollanam-do,20180721,43.5416666667,60
Jeollanam-do,20180722,19.9130434783,50
Jeollanam-do,20180723,12.5,23
Jeollanam-do,20180724,13.5,26
Jeollanam-do,20180725,18.375,31
Jeollanam-do,20180726,18.75,24
Jeollanam-do,20180727,23.0416666667,31
Jeollanam-do,20180728,27.4583333333,49
Jeollanam-do,20180729,15.4166666667,26
Jeollanam-do,20180730,7.375,16
Jeollanam-do,20180731,12.0,24
Jeollanam-do,20180801,16.5,37
Jeollanam-do,20180802,17.0,29
Jeollanam-do,20180803,15.9583333333,27
Jeollanam-do,20180804,18.4583333333,26
Jeollanam-do,20180805,17.5,27
Jeollanam-do,20180806,19.4583333333,26
Jeollanam-do,20180807,23.3333333333,41
Jeollanam-do,20180808,20.5833333333,34
Jeollanam-do,20180809,18.0,24
Jeollanam-do,20180810,18.4166666667,37
Jeollanam-do,20180811,13.0,31
Jeollanam-do,20180812,15.0,24
Jeollanam-do,20180813,17.5416666667,33
Jeollanam-do,20180814,18.75,29
Jeollanam-do,20180815,16.625,33
Jeollanam-do,20180816,9.375,19
Jeollanam-do,20180817,9.29166666667,14
Jeollanam-do,20180818,11.0833333333,19
Jeollanam-do,20180819,18.125,27
Jeollanam-do,20180820,21.1666666667,33
Jeollanam-do,20180821,22.3333333333,28
Jeollanam-do,20180822,13.2083333333,21
Jeollanam-do,20180823,6.91666666667,13
Jeollanam-do,20180824,8.69565217391,22
Jeollanam-do,20180825,19.6666666667,28
Jeollanam-do,20180826,8.0,17
Jeollanam-do,20180827,4.58333333333,8
Jeollanam-do,20180828,10.9583333333,25
Jeollanam-do,20180829,10.7083333333,23
Jeollanam-do,20180830,8.16666666667,15
Jeollanam-do,20180831,9.17391304348,21
Jeollanam-do,20180901,13.3333333333,20
Jeollanam-do,20180902,8.95833333333,18
Jeollanam-do,20180903,10.5833333333,21
Jeollanam-do,20180904,11.2173913043,22
Jeollanam-do,20180905,14.0416666667,25
Jeollanam-do,20180906,12.375,20
Jeollanam-do,20180907,16.6666666667,29
Jeollanam-do,20180908,14.5416666667,22
Jeollanam-do,20180909,16.2083333333,34
Jeollanam-do,20180910,10.2083333333,20
Jeollanam-do,20180911,11.7894736842,28
Jeollanam-do,20180912,20.0416666667,31
Jeollanam-do,20180913,23.6666666667,36
Jeollanam-do,20180914,10.5416666667,23
Jeollanam-do,20180915,12.0833333333,26
Jeollanam-do,20180916,26.8333333333,44
Jeollanam-do,20180917,31.4166666667,51
Jeollanam-do,20180918,30.2083333333,55
Jeollanam-do,20180919,33.4166666667,49
Jeollanam-do,20180920,21.5,46
Jeollanam-do,20180921,8.91666666667,17
Jeollanam-do,20180922,28.0,49
Jeollanam-do,20180923,30.2083333333,40
Jeollanam-do,20180924,18.0833333333,30
Jeollanam-do,20180925,14.0,28
Jeollanam-do,20180926,13.6666666667,27
Jeollanam-do,20180927,11.1666666667,22
Jeollanam-do,20180928,13.5833333333,27
Jeollanam-do,20180929,13.8333333333,22
Jeollanam-do,20180930,17.2916666667,47
Jeollanam-do,20181001,14.5,26
Jeollanam-do,20181002,20.7916666667,32
Jeollanam-do,20181003,22.6666666667,39
Jeollanam-do,20181004,17.75,35
Jeollanam-do,20181005,7.73913043478,13
Jeollanam-do,20181006,10.125,29
Jeollanam-do,20181007,27.8333333333,45
Jeollanam-do,20181008,22.0,32
Jeollanam-do,20181009,15.75,31
Jeollanam-do,20181010,19.4583333333,31
Jeollanam-do,20181011,16.25,33
Jeollanam-do,20181012,19.1666666667,32
Jeollanam-do,20181013,23.5416666667,41
Jeollanam-do,20181014,27.5833333333,50
Jeollanam-do,20181015,42.0416666667,64
Jeollanam-do,20181016,51.9583333333,79
Jeollanam-do,20181017,28.0833333333,46
Jeollanam-do,20181018,24.5217391304,45
Jeollanam-do,20181019,18.875,42
Jeollanam-do,20181020,28.5416666667,55
Jeollanam-do,20181021,35.8666666667,65
Jeollanam-do,20181022,36.6923076923,74
Jeollanam-do,20181023,35.5833333333,70
Jeollanam-do,20181024,38.0625,52
Jeollanam-do,20181025,38.5833333333,61
Jeollanam-do,20181026,26.1666666667,44
Jeollanam-do,20181027,22.625,32
Jeollanam-do,20181028,29.4117647059,59
Jeollanam-do,20181029,9.28571428571,19
Jeollanam-do,20181030,18.8333333333,35
Jeollanam-do,20181031,20.5,34
Jeollabuk-do,20180301,39.75,87
Jeollabuk-do,20180302,40.375,57
Jeollabuk-do,20180303,38.9166666667,50
Jeollabuk-do,20180304,33.375,52
Jeollabuk-do,20180305,4.88235294118,18
Jeollabuk-do,20180306,11.0526315789,24
Jeollabuk-do,20180307,26.5833333333,37
Jeollabuk-do,20180308,26.8571428571,65
Jeollabuk-do,20180309,60.1666666667,90
Jeollabuk-do,20180310,33.8333333333,67
Jeollabuk-do,20180311,65.25,113
Jeollabuk-do,20180312,80.5,156
Jeollabuk-do,20180313,32.7916666667,70
Jeollabuk-do,20180314,23.3333333333,41
Jeollabuk-do,20180315,15.9583333333,27
Jeollabuk-do,20180316,18.0869565217,31
Jeollabuk-do,20180317,24.4166666667,45
Jeollabuk-do,20180318,32.0833333333,50
Jeollabuk-do,20180319,10.9,36
Jeollabuk-do,20180320,12.4583333333,23
Jeollabuk-do,20180321,7.41666666667,13
Jeollabuk-do,20180322,26.4583333333,60
Jeollabuk-do,20180323,47.4166666667,68
Jeollabuk-do,20180324,60.125,103
Jeollabuk-do,20180325,71.4583333333,163
Jeollabuk-do,20180326,46.125,88
Jeollabuk-do,20180327,61.3333333333,89
Jeollabuk-do,20180328,43.6666666667,59
Jeollabuk-do,20180329,34.4583333333,58
Jeollabuk-do,20180330,38.75,71
Jeollabuk-do,20180331,49.875,77
Jeollabuk-do,20180401,65.8333333333,89
Jeollabuk-do,20180402,59.5833333333,81
Jeollabuk-do,20180403,45.5833333333,89
Jeollabuk-do,20180404,15.7142857143,38
Jeollabuk-do,20180405,2.91304347826,5
Jeollabuk-do,20180406,72.0833333333,240
Jeollabuk-do,20180407,43.6666666667,63
Jeollabuk-do,20180408,50.4583333333,100
Jeollabuk-do,20180409,80.0416666667,114
Jeollabuk-do,20180410,54.4347826087,118
Jeollabuk-do,20180411,58.0416666667,115
Jeollabuk-do,20180412,48.6666666667,63
